Label,Y_pred
0,0.208764519
0,0.336448594
0,0.433682307
0,0.518821397
1,0.685876786
0,0.100492837
0,0.73176239
0,0.112918166
1,0.687924288
0,0.18345177
0,0.541807241
0,0.781738119
0,0.463848837
0,0.411570467
0,0.208764519
1,0.696808639
1,0.065002802
0,0.208764519
0,0.418472292
1,0.566377265
1,0.463848837
0,0.227443485
0,0.065002802
1,0.41097201
1,0.676070329
0,0.100492837
1,0.996851125
1,0.997295123
1,0.705669306
1,0.208764519
1,0.687924288
1,0.227443485
1,0.776649377
0,0.34000536
0,0.280678538
0,0.51316616
1,0.37399452
1,0.37399452
0,0.126349863
0,0.120584241
0,0.100492837
1,0.687924288
1,0.566377265
1,0.472882142
1,0.280678538
1,0.065002802
1,0.877695198
1,0.687924288
1,0
0,0.227443485
1,0.687924288
0,0.100492837
0,0.37399452
1,0.468067283
0,0.676070329
1,0.687924288
1,0.685876786
0,0.100492837
0,0.208764519
1,0.729507966
0,0.367389259
0,0.100492837
1,0.687924288
1,0.179779917
0,0.208764519
1,0.280678538
0,0.280678538
0,0.676070329
1,0.280678538
0,0.105543765
1,0.227443485
0,0.100492837
1,0.70540611
1,0.616654816
1,0.86250337
1,0.179779917
0,0
0,0.118237855
1,0.566377265
1,0.530666778
1,0.696796797
1,0.372977862
0,0.687924288
0,0.685876786
0,0.065002802
0,0.042588043
1,0.418472292
1,0.861998861
0,0.687924288
1,0.280678538
1,0
0,0.280678538
0,0.484128858
1,0.687924288
0,0.685876786
0,0.280678538
1,0.566377265
1,0.687924288
1,0.227443485
0,0.699357936
0,0.118237855
0,0.100492837
1,0.687924288
0,0.100492837
1,0.280678538
0,0.484128858
0,0.687924288
1,0.532477133
0,0.566377265
1,0.484128858
0,0.065002802
1,0.999654182
0,0.100492837
1,0.280678538
1,0.480564817
1,0.463848837
0,0.687924288
0,0.227443485
0,0.280678538
1,0.685876786
0,0.45619935
0,0.687924288
1,0.616654816
1,0.616654816
1,0.484128858
0,0.687924288
0,0.100492837
1,0.042588043
1,0.181538533
1,0.705669306
1,0.566377265
0,0.100492837
1,0.51316616
0,0.51316616
1,0.705669306
1,0.042588043
0,0.113089152
1,0.685876786
0,0.687924288
1,0.566377265
1,0.280678538
1,0.280678538
1,0.51316616
0,0.118237855
0,0.691394386
1,0.98030716
0,0.065002802
1,1
1,0.100492837
1,0.463848837
1,0.280678538
1,0.621525156
0,0.100492837
1,0.280678538
0,0.369262663
1,0.51316616
0,0.065002802
1,0.065002802
1,0.687924288
0,0.280678538
0,0.208764519
1,0.382982257
0,0.39927071
0,0.227443485
1,0.685876786
0,0.280678538
0,0.687924288
0,0.482588866
1,0.687924288
0,0.51316616
0,0.227443485
1,0.975509633
1,0.687924288
0,0.566377265
1,0.701630019
0,0.433682307
0,0.111546758
1,0.616654816
1,0.687924288
1,0.616654816
1,0.280678538
1,0.687924288
1,0.463848837
0,0.208764519
0,0.539825141
0,0.51316616
1,0.208764519
0,0.338170325
0,0.210854132
0,0.864628628
0,0.566377265
1,0.51316616
1,0.685876786
0,0.280678538
1,0.687924288
0,0.21560024
0,0.065002802
1,1
0,0.540476187
1,0.687924288
1,1
1,0.705669306
0,0.467845747
0,0.208764519
0,0.280678538
1,0.37399452
0,0.37399452
1,0.687924288
0,0.566377265
0,0.208764519
0,0.227443485
0,0.100492837
1,0.687924288
0,0.100492837
0,0.280678538
0,0.382982257
0,0.208764519
1,0.566377265
0,0.065002802
0,0.227443485
1,1
0,0.118237855
1,0.51316616
0,0.382982257
0,0.103442246
1,0.687924288
1,0.280678538
1,1
0,0.227443485
0,0.463848837
0,0.100492837
1,0.280678538
1,0.687924288
1,0.223064893
0,0.901697035
0,0.121043265
0,0.042588043
0,0.065002802
0,0.065002802
0,0.777937454
1,0.776649377
1,0.566377265
1,0.616654816
1,0.705669306
0,0.100492837
0,0.042588043
0,0.185933624
0,0.065002802
1,0.454276491
1,0.875798035
0,0.687924288
1,0.479829337
1,0.874787173
1,0.705669306
0,0.100492837
0,0.280678538
0,0.280678538
1,1
0,0.696796797
0,0.042588043
0,0.280678538
0,0.227443485
1,0.100492837
0,0.100492837
0,0.065002802
0,0.687924288
1,0.616654816
0,0.280678538
0,0.484128858
0,0.676070329
0,0.37399452
1,0.280678538
0,0.51316616
1,0.616654816
1,0.676070329
0,0.705669306
0,0.478165668
1,0.118237855
0,0.676070329
0,0.207649898
0,0.676070329
1,0.100492837
0,0.692798342
1,0.930222316
1,1
1,0.940279222
0,0.141579039
0,0.208764519
0,0.100492837
0,0.358405852
1,0.208764519
0,0.280678538
1,0.687924288
0,0.37399452
0,0.696796797
0,0.065002802
1,0.696796797
0,0.100492837
0,0.100492837
0,0.37399452
1,0.653564453
1,0.687924288
0,0.566377265
0,0.484128858
1,0.382982257
1,0.51316616
0,0.382982257
0,0.100492837
0,0.118237855
0,0.22260162
0,0.51316616
1,0.926172987
1,0.227443485
1,0.881699882
0,0.676070329
1,0.166730568
0,0.336448594
1,0.687924288
1,0.382982257
1,0.897461385
1,0.566377265
1,0.685876786
1,0.63853599
0,0.458105612
0,0.616654816
0,0.457936607
0,0.280678538
0,0.280678538
0,0.425968515
1,0.51316616
0,0.100492837
0,0.100492837
